Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
01.01.2024 00:00;01.01.2024 01:00;39.523,75;4.308,00
01.01.2024 01:00;01.01.2024 02:00;37.663,25;2.925,50
01.01.2024 02:00;01.01.2024 03:00;36.652,25;2.168,50
01.01.2024 03:00;01.01.2024 04:00;36.426,25;2.381,25
01.01.2024 04:00;01.01.2024 05:00;36.427,00;2.755,25
01.01.2024 05:00;01.01.2024 06:00;36.946,00;3.466,25
01.01.2024 06:00;01.01.2024 07:00;37.697,75;3.950,50
01.01.2024 07:00;01.01.2024 08:00;39.206,00;5.294,00
01.01.2024 08:00;01.01.2024 09:00;41.851,25;7.078,00
01.01.2024 09:00;01.01.2024 10:00;45.343,50;7.635,75
01.01.2024 10:00;01.01.2024 11:00;48.030,50;7.318,50
01.01.2024 11:00;01.01.2024 12:00;50.228,25;7.773,25
01.01.2024 12:00;01.01.2024 13:00;50.236,00;7.681,25
01.01.2024 13:00;01.01.2024 14:00;49.137,25;8.038,25
01.01.2024 14:00;01.01.2024 15:00;48.562,00;10.591,00
01.01.2024 15:00;01.01.2024 16:00;47.595,00;13.588,75
01.01.2024 16:00;01.01.2024 17:00;48.424,50;17.126,00
01.01.2024 17:00;01.01.2024 18:00;51.255,25;20.056,00
01.01.2024 18:00;01.01.2024 19:00;52.495,75;21.296,50
01.01.2024 19:00;01.01.2024 20:00;51.773,50;21.038,00
01.01.2024 20:00;01.01.2024 21:00;49.352,75;19.469,50
01.01.2024 21:00;01.01.2024 22:00;47.279,75;18.862,75
01.01.2024 22:00;01.01.2024 23:00;47.274,25;20.718,25
01.01.2024 23:00;02.01.2024 00:00;44.545,25;19.814,75
02.01.2024 00:00;02.01.2024 01:00;42.985,00;19.028,75
02.01.2024 01:00;02.01.2024 02:00;41.476,50;18.368,25
02.01.2024 02:00;02.01.2024 03:00;40.644,00;17.525,50
02.01.2024 03:00;02.01.2024 04:00;40.977,25;16.602,50
02.01.2024 04:00;02.01.2024 05:00;42.680,50;16.127,50
02.01.2024 05:00;02.01.2024 06:00;46.136,50;16.915,50
02.01.2024 06:00;02.01.2024 07:00;52.594,50;20.551,50
02.01.2024 07:00;02.01.2024 08:00;57.377,75;23.343,50
02.01.2024 08:00;02.01.2024 09:00;59.885,75;24.042,00
02.01.2024 09:00;02.01.2024 10:00;61.252,25;24.180,25
02.01.2024 10:00;02.01.2024 11:00;61.850,00;24.394,50
02.01.2024 11:00;02.01.2024 12:00;62.394,25;25.404,25
02.01.2024 12:00;02.01.2024 13:00;62.103,50;26.129,75
02.01.2024 13:00;02.01.2024 14:00;61.411,75;27.005,75
02.01.2024 14:00;02.01.2024 15:00;60.125,25;27.934,75
02.01.2024 15:00;02.01.2024 16:00;59.829,00;29.546,50
02.01.2024 16:00;02.01.2024 17:00;60.081,75;30.247,25
02.01.2024 17:00;02.01.2024 18:00;61.734,75;30.471,00
02.01.2024 18:00;02.01.2024 19:00;62.359,50;28.698,75
02.01.2024 19:00;02.01.2024 20:00;61.183,25;25.129,75
02.01.2024 20:00;02.01.2024 21:00;57.936,25;19.720,75
02.01.2024 21:00;02.01.2024 22:00;54.120,00;14.087,00
02.01.2024 22:00;02.01.2024 23:00;51.009,75;9.967,00
02.01.2024 23:00;03.01.2024 00:00;47.421,75;5.086,75
03.01.2024 00:00;03.01.2024 01:00;44.904,25;3.163,00
03.01.2024 01:00;03.01.2024 02:00;43.065,50;1.701,00
03.01.2024 02:00;03.01.2024 03:00;42.152,25;432,00
03.01.2024 03:00;03.01.2024 04:00;42.620,00;357,75
03.01.2024 04:00;03.01.2024 05:00;44.437,00;1.572,75
03.01.2024 05:00;03.01.2024 06:00;48.099,00;4.906,25
03.01.2024 06:00;03.01.2024 07:00;53.994,00;7.514,00
03.01.2024 07:00;03.01.2024 08:00;58.474,50;11.486,00
03.01.2024 08:00;03.01.2024 09:00;61.023,50;13.947,00
03.01.2024 09:00;03.01.2024 10:00;62.359,50;14.125,75
03.01.2024 10:00;03.01.2024 11:00;63.165,50;13.348,00
03.01.2024 11:00;03.01.2024 12:00;63.819,75;12.695,00
03.01.2024 12:00;03.01.2024 13:00;63.694,00;12.452,00
03.01.2024 13:00;03.01.2024 14:00;62.777,75;13.095,25
03.01.2024 14:00;03.01.2024 15:00;61.316,00;14.774,75
03.01.2024 15:00;03.01.2024 16:00;61.013,75;18.470,50
03.01.2024 16:00;03.01.2024 17:00;61.369,75;22.108,00
03.01.2024 17:00;03.01.2024 18:00;63.382,25;26.214,25
03.01.2024 18:00;03.01.2024 19:00;63.974,75;28.634,25
03.01.2024 19:00;03.01.2024 20:00;62.600,75;28.725,25
03.01.2024 20:00;03.01.2024 21:00;59.482,75;26.543,00
03.01.2024 21:00;03.01.2024 22:00;55.861,00;23.654,50
03.01.2024 22:00;03.01.2024 23:00;52.582,00;21.148,50
03.01.2024 23:00;04.01.2024 00:00;48.839,25;17.658,75
04.01.2024 00:00;04.01.2024 01:00;45.412,25;10.060,50
04.01.2024 01:00;04.01.2024 02:00;43.433,00;7.898,25
04.01.2024 02:00;04.01.2024 03:00;42.684,00;6.785,50
04.01.2024 03:00;04.01.2024 04:00;43.109,25;6.700,00
04.01.2024 04:00;04.01.2024 05:00;44.758,50;7.941,25
04.01.2024 05:00;04.01.2024 06:00;48.457,50;11.429,25
04.01.2024 06:00;04.01.2024 07:00;54.464,00;17.327,25
04.01.2024 07:00;04.01.2024 08:00;58.631,50;22.445,25
04.01.2024 08:00;04.01.2024 09:00;60.947,00;25.601,50
04.01.2024 09:00;04.01.2024 10:00;62.481,25;27.261,25
04.01.2024 10:00;04.01.2024 11:00;63.545,25;28.138,25
04.01.2024 11:00;04.01.2024 12:00;64.409,75;29.048,25
04.01.2024 12:00;04.01.2024 13:00;64.346,50;29.885,00
04.01.2024 13:00;04.01.2024 14:00;63.524,00;31.211,25
04.01.2024 14:00;04.01.2024 15:00;61.971,50;33.703,00
04.01.2024 15:00;04.01.2024 16:00;61.601,25;38.535,75
04.01.2024 16:00;04.01.2024 17:00;61.849,00;43.351,25
04.01.2024 17:00;04.01.2024 18:00;63.567,00;48.261,50
04.01.2024 18:00;04.01.2024 19:00;64.407,25;51.723,75
04.01.2024 19:00;04.01.2024 20:00;62.868,25;52.087,75
04.01.2024 20:00;04.01.2024 21:00;59.855,75;50.088,25
04.01.2024 21:00;04.01.2024 22:00;56.371,00;47.313,75
04.01.2024 22:00;04.01.2024 23:00;53.150,00;44.256,00
04.01.2024 23:00;05.01.2024 00:00;49.237,00;39.725,25
05.01.2024 00:00;05.01.2024 01:00;47.663,25;35.982,00
05.01.2024 01:00;05.01.2024 02:00;45.085,75;31.593,50
05.01.2024 02:00;05.01.2024 03:00;44.665,50;29.355,50
05.01.2024 03:00;05.01.2024 04:00;45.018,00;28.063,25
05.01.2024 04:00;05.01.2024 05:00;46.136,00;27.511,25
05.01.2024 05:00;05.01.2024 06:00;47.372,25;26.880,00
05.01.2024 06:00;05.01.2024 07:00;53.454,25;31.001,00
05.01.2024 07:00;05.01.2024 08:00;57.924,75;34.205,50
05.01.2024 08:00;05.01.2024 09:00;60.549,50;35.357,00
05.01.2024 09:00;05.01.2024 10:00;61.921,25;34.046,00
05.01.2024 10:00;05.01.2024 11:00;62.509,75;32.086,25
05.01.2024 11:00;05.01.2024 12:00;62.976,25;31.351,50
05.01.2024 12:00;05.01.2024 13:00;62.266,50;30.844,25
05.01.2024 13:00;05.01.2024 14:00;61.470,50;31.084,25
05.01.2024 14:00;05.01.2024 15:00;60.301,00;31.872,50
05.01.2024 15:00;05.01.2024 16:00;59.846,75;33.498,25
05.01.2024 16:00;05.01.2024 17:00;60.441,00;35.224,00
05.01.2024 17:00;05.01.2024 18:00;62.420,25;36.789,50
05.01.2024 18:00;05.01.2024 19:00;63.012,50;37.331,75
05.01.2024 19:00;05.01.2024 20:00;61.596,75;36.361,50
05.01.2024 20:00;05.01.2024 21:00;58.624,25;33.869,50
05.01.2024 21:00;05.01.2024 22:00;54.986,00;31.111,50
05.01.2024 22:00;05.01.2024 23:00;52.399,00;29.713,75
05.01.2024 23:00;06.01.2024 00:00;48.780,25;27.184,25
06.01.2024 00:00;06.01.2024 01:00;45.200,50;23.732,00
06.01.2024 01:00;06.01.2024 02:00;43.346,75;22.979,75
06.01.2024 02:00;06.01.2024 03:00;41.945,25;22.433,25
